year	month	day	NEE	GPP	Reco	LHF
2020	3	18	-4.78664	7.27157	2.48491	2.83901
2020	3	21	-2.52159	5.40057	2.87899	1.43414
2020	3	22	-3.54134	5.86728	2.32594	1.81089
2020	3	23	-1.62239	3.70744	2.08506	0.26545
2020	3	24	-4.78206	7.33979	2.55774	2.74229
2020	3	25	-2.44541	4.78643	2.34102	0.64087
2020	3	26	-4.99954	8.04805	3.04847	2.64039
2020	3	27	-6.06439	9.40366	3.33928	3.36857
2020	3	28	-5.44974	8.94806	3.49828	3.54999
2020	3	29	-5.6683	8.97085	3.30257	3.32957
2020	3	30	-4.19393	6.64262	2.44869	1.32677
2020	4	1	-5.94386	8.08117	2.13725	3.29123
2020	4	3	-5.49957	7.77815	2.27857	3.64709
2020	4	4	-6.60989	8.96645	2.3566	3.92239
2020	4	5	-6.6914	9.07436	2.38292	4.60702
2020	4	6	-6.88343	9.44944	2.56599	4.68783
2020	4	7	-6.49852	9.0532	2.55468	4.75506
2020	4	8	-6.46431	9.34182	2.87756	5.22382
2020	4	9	-6.569	9.69427	3.12528	5.99106
2020	4	10	-6.28318	9.60361	3.32044	5.33968
2020	4	11	-7.56121	10.89592	3.33471	5.67572
2020	4	12	-8.08533	11.75711	3.67183	5.74215
2020	4	13	-6.69759	10.79159	4.09401	4.39974
2020	4	14	-7.26165	10.36263	3.10099	3.30664
2020	4	15	-8.73098	11.9432	3.21223	5.15826
2020	4	16	-8.42398	12.22631	3.80233	6.0478
2020	4	17	-8.10001	12.48591	4.38595	6.49666
2020	4	18	-9.63826	14.19081	4.55256	6.37933
2020	4	19	-6.337	10.56173	4.22469	3.61505
2020	4	20	-10.64052	14.09039	3.44985	5.95408
2020	4	21	-10.90135	14.44964	3.54828	6.12085
2020	4	22	-10.42905	14.17374	3.74473	6.45417
2020	4	23	-10.68568	14.72044	4.0347	6.54914
2020	4	24	-10.12039	14.38833	4.26795	6.57991
2020	4	25	-9.55525	14.02743	4.47221	6.16712
2020	4	26	-11.55339	15.6181	4.06466	6.06623
2020	4	27	-11.12425	15.71359	4.58936	5.50595
2020	4	28	-10.58855	15.79106	5.20251	5.79041
2020	4	29	-8.15514	13.53141	5.37626	4.02934
2020	4	30	-9.28238	14.59804	5.31565	5.33384
2020	5	1	-6.65814	11.5224	4.86422	2.5808
2020	5	2	-8.7547	13.72127	4.96665	5.08336
2020	5	3	-9.63227	14.3695	4.7372	3.15877
2020	5	4	-10.49091	15.04351	4.5526	5.66533
2020	5	5	-7.80696	12.13742	4.33048	2.77185
2020	5	6	-10.02487	13.98605	3.96122	2.76322
2020	5	7	-9.79136	14.0512	4.25981	5.02681
2020	5	8	-9.09753	13.53053	4.43293	5.6025
2020	5	9	-8.09694	12.92028	4.82336	5.00328
2020	5	10	-7.28165	12.13492	4.85327	4.78012
2020	5	11	-7.25759	12.35736	5.09981	4.77988
2020	5	12	-7.9541	11.76819	3.81404	2.15106
2020	5	13	-6.18426	10.0811	3.89682	1.85835
2020	5	14	-10.20222	14.4767	4.2745	3.43662
2020	5	15	-7.29804	11.19528	3.89716	2.53699
2020	5	23	-4.17598	8.02437	3.8484	3.59068
2020	5	24	-3.29373	7.2096	3.91586	3.13147
2020	5	25	-4.44269	8.12031	3.67763	2.2894
2020	5	26	-3.61766	7.74536	4.12767	3.1995
2020	5	27	-2.0107	6.56792	4.55721	2.32521
2020	5	28	-0.04687	4.84895	4.8021	1.79084
2020	5	29	-2.45444	7.30411	4.8497	2.5529
2020	5	30	-3.23985	7.85638	4.6165	3.2527
2020	5	31	-1.34525	5.69109	4.34588	0.41047
2020	6	1	-1.88518	6.85197	4.96678	3.81323
2020	6	2	-2.59355	7.23104	4.63743	4.18586
2020	6	3	-1.21466	5.90945	4.69477	3.55095
2020	6	4	-0.17799	5.27458	5.09658	3.35844
2020	6	5	1.78163	2.9199	4.70153	1.18725
2020	6	6	1.71141	3.10004	4.81144	2.82923
2020	6	7	2.54822	2.40912	4.95734	2.61264
2020	6	8	1.46491	3.0179	4.48281	2.66935
2020	6	9	2.28304	2.19878	4.48183	1.71869
2020	6	10	3.08679	1.55849	4.64528	2.02371
2020	6	11	2.38184	1.55556	3.93741	1.58129
2020	6	12	2.76078	1.62483	4.38561	2.55078
2020	6	13	3.02954	1.71582	4.74535	3.27001
2020	6	14	3.33598	0.98728	4.32325	1.47874
2020	6	15	2.98794	1.06098	4.04892	1.51029
2020	6	17	3.14322	1.36273	4.50595	2.06932
2020	6	18	2.87391	1.51401	4.38792	1.42463
2020	6	19	2.68002	1.92111	4.60114	2.25071
2020	6	20	3.01579	1.22963	4.24542	0.76356
2020	6	21	2.84753	1.61267	4.46019	1.29902
2020	6	22	3.11234	1.64085	4.75319	1.60531
2020	6	23	2.6285	2.21585	4.84435	4.14947
2020	6	24	2.93254	1.71628	4.64881	3.51214
2020	6	25	3.64762	1.35864	5.00626	2.40179
2020	6	26	4.36221	0.70515	5.06736	2.90613
2020	6	27	3.72259	1.55188	5.27446	3.06473
2020	6	28	2.7719	2.7472	5.51911	3.20792
2020	6	29	4.1431	1.25434	5.39744	2.5352
2020	6	30	3.70095	1.17517	4.87612	3.39753
2020	7	1	3.13459	2.31483	5.44942	2.75808
2020	7	2	3.39091	2.07707	5.46798	3.87741
2020	7	3	2.01247	2.75869	4.77116	2.46258
2020	7	4	2.43414	2.17912	4.61327	2.56846
2020	7	5	2.36291	2.64469	5.0076	3.49314
2020	7	6	2.75102	2.42706	5.17808	3.9868
2020	7	7	2.14889	1.92655	4.07544	3.61212
2020	7	8	4.24786	0.50951	4.75736	3.3707
2020	7	9	4.21241	0.90968	5.12208	3.33552
2020	7	10	4.37811	1.0484	5.42651	2.21943
2020	7	11	4.0341	0.96209	4.9962	2.1804
2020	7	12	3.67899	0.52065	4.19963	2.92068
2020	7	13	4.10197	0.4947	4.59666	3.23685
2020	7	14	4.02875	0.57211	4.60085	2.03684
2020	7	15	3.83269	0.90863	4.74133	1.90152
2020	7	16	2.46839	2.13229	4.60068	1.6922
2020	7	17	2.75747	1.02873	3.7862	1.24782
2020	7	18	3.28192	0.67587	3.95779	1.68281
2020	7	19	3.41002	0.79202	4.20204	1.78516
2020	7	20	3.83758	1.00069	4.83828	2.90944
2020	7	21	4.21637	1.5128	5.72917	2.66536
2020	7	22	3.6916	1.75749	5.44909	2.78445
2020	7	23	3.465	1.61473	5.07973	3.53705
2020	7	24	4.3189	1.03359	5.3525	2.31972
2020	7	25	2.65511	1.51693	4.17204	2.80338
2020	7	26	4.10176	1.04529	5.14705	4.94773
2020	7	27	2.99158	1.85109	4.84266	4.8165
2020	7	28	5.35538	0.55145	5.90683	6.07532
2020	7	29	3.9357	1.32146	5.25716	5.92222
2020	7	30	3.83496	1.75214	5.58711	6.46188
2020	7	31	4.20868	1.26416	5.47284	5.97047
2020	8	1	4.87194	0.80127	5.67321	3.9514
2020	8	2	4.63508	0.80777	5.44285	1.63384
2020	8	3	4.85715	0.72699	5.58414	1.2432
2020	8	4	7.00487	0.12486	7.12974	3.6603
2020	8	5	4.5893	0.50268	5.09198	1.78505
2020	8	6	6.40474	0.52444	6.92918	3.67297
2020	8	7	5.76391	0.84305	6.60695	3.49448
2020	8	8	5.96181	0.93701	6.89882	2.57949
2020	8	9	6.04959	0.76909	6.81868	2.39873
2020	8	10	5.89586	0.75446	6.65032	1.90839
2020	8	11	5.94064	0.44447	6.38511	2.75981
2020	8	12	5.34174	0.52891	5.87065	2.87385
2020	8	13	5.04381	0.49301	5.53682	1.92043
2020	8	14	4.96944	0.3312	5.30064	2.77693
2020	8	15	4.70263	0.17158	4.87421	1.77884
2020	8	16	3.9892	0.61324	4.60244	2.40864
2020	8	17	3.29887	0.78105	4.07992	2.79046
2020	8	18	2.06153	1.17396	3.23549	2.56436
2020	8	19	3.91565	0.33495	4.2506	3.11287
2020	8	20	5.10357	0.18372	5.28728	2.81846
2020	8	21	5.30995	0.45714	5.76709	2.66993
2020	8	22	5.08345	1.01909	6.10254	2.95533
2020	8	23	4.2599	0.41395	4.67384	1.85745
2020	8	24	3.73779	0.56288	4.30068	2.15506
2020	8	25	3.78843	0.39913	4.18756	2.40145
2020	8	26	3.25421	0.92131	4.17552	1.76154
2020	8	27	3.89569	0.17429	4.06998	1.97875
2020	8	28	4.3011	0.24411	4.54521	2.17572
2020	8	29	3.80846	0.56705	4.37552	2.01227
2020	8	30	3.78399	0.55802	4.34201	1.5511
2020	8	31	3.2517	0.17164	3.42334	1.15434
2020	9	1	1.73383	0.77198	2.50581	1.62869
2020	9	2	3.842	0.12858	3.97059	2.23096
2020	9	3	4.05308	0.05706	4.11015	2.5886
2020	9	4	3.6682	0.2277	3.8959	2.35746
2020	9	6	3.59193	0.25719	3.84912	2.01593
2020	9	7	3.45967	0.08181	3.54149	1.47641
2020	9	8	2.37585	0.54722	2.92308	2.01866
2020	9	9	2.84891	0.5389	3.38781	2.17425
2020	9	10	3.15475	0.35981	3.51456	1.59839
